Number,Title,Abstract,Keywords
36,Modelling of laser powder bed fusion process and analysing the effective parameters on surface characteristics of Ti-6Al-4V,"In this paper, we propose a model to predict the average surface roughness (Sa) and analyse the effect of related process parameters on laser powder bed fusion (LPBF) selective laser melting (SLM) of Ti-6Al-4 V. The additive manufacturing (AM) process has various independent parameters that affect the quality of the produced parts and is complex to analyse. Although the process parameters can be selected separately in LPBF, they do however affect each other. Therefore, large adjustments of process parameters is not possible due to the negative effect they have on each other which can lead to problems such as cracks, balling, unmelted powders, porosity, and distortion. A range of process parameters using Taguchi L25 design of experiment (DOE) with five repetitions for each sample has been selected. Then, an artificial neural network (ANN) is applied to the model to predict the value of (arithmetical mean height)/(average surface roughness) (Sa). The selected processing parameters are laser power, scan speed, hatch spacing, laser pattern increment angle, and heat treatment (HT) condition. The present work revolves around ANN modeling and using a wide parameter range and a large number of test samples under ASTM standards as well as adding HT to the DOE to analyse the simultaneous effect of HT and changing process parameters on surface characteristics. A large and precise data set with high generality and reliability obtained by 3750 profilometries on 125 samples. The contribution of this paper is using ANN as an accurate tool in surface modeling and characterizing the effective parameters on the surface of LPBF parts. The existence phenomena and governing factors were explained by introducing new parametric mechanisms in rheology of melting pool. In AM of metals, the variation of average roughness in overlap of hatches can be 5–7 times higher than the centre of the track. Therefore, Sa was selected to have consistency in the measured roughness values. Results showed heat treatment above beta phase transus leads to a local flow of material at the surface causing an increase of Sa. The ranking of influential factors on Sa from the highest to the lowest was found to be: heat treatment > laser power > scan pattern angle > hatch space > scan speed.",
37,Optimization of Cold Metal Transfer-Based Wire Arc Additive Manufacturing Processes Using Gaussian Process Regression,"Wire and arc additive manufacturing (WAAM) is among the most promising additive manufacturing techniques for metals because it yields high productivity at low raw material costs. However, additional post-processing is required to remove redundant surface material from components manufactured by the WAAM process, and thus the productivity decreases. To increase productivity, multi-variable process parameters need to be optimized, including thermo-mechanical effects caused by high deposition rates. When the process is modeled, deposit shape and productivity are challenging to quantify due to uncertainty in multiple variables of the complicated WAAM process. Therefore, we modeled the WAAM process parameters, including uncertainties, using a Gaussian process regression (GPR) method, thus allowing us to develop a WAAM optimization model to improve both productivity and the quality of the deposit shape. The accuracy of the optimized output was verified through a close agreement with experimental values. The optimized deposited material had a wide effective area ratio, small height differences, and near 90° deposition angle, highlighting the usefulness of the GPR model approach to deposit nearly ideal material shapes.",
38,Data analytics approach for melt-pool geometries in metal additive manufacturing,"Modern data analytics was employed to understand and predict physics-based melt-pool formation by fabricating Ni alloy single tracks using powder bed fusion. An extensive database of melt-pool geometries was created, including processing parameters and material characteristics as input features. Correlation analysis provided insight for relationships between process parameters and melt-pools, and enabled the development of meaningful machine learning models via the use of highly correlated features. We successfully demonstrated that data analytics facilitates understanding of the inherent physics and reliable prediction of melt-pool geometries. This approach can serve as a basis for the melt-pool control and process optimization.",
39,Modelling and parameter optimization for filament deformation in 3D cementitious material printing using support vector machine,"The material flow mechanism affects the printing quality considerably in 3D cementitious material printing (3DCMP) area. A numerical model was developed to investigate the material flow mechanism during the extrusion and deposition process. To quantify the effects of flow mechanism on the filament printing quality, deformation of the printed filament was proposed. Then a Support Vector Machine (SVM) was employed to study various factors on flow mechanism, hence the deformation of the printed filament. The SVM model results showed that deformation of the printed filament is independent of plastic viscosity, however, material yield stress and relative nozzle travel speed significantly affect the deformation of the printed filament. Lastly, an empirical parametric associative model was proposed to predict the filament deformation based on material yield stress and relative nozzle travel speed.",
40,Optimized hatch space selection in double-scanning track selective laser melting process,"Additive manufacturing (AM) techniques such as selective laser melting (SLM) have many advantages over traditional manufacturing methods. However, the quality of SLM products is critically dependent on the process parameters, e.g., the laser power, scanning speed, powder layer thickness, hatch space, and scan length. Determining the parameter settings which optimize the product quality is a challenging, but extremely important problem for manufacturers. In a previous study, the present group determined the optimal values of the laser power and scanning speed for 316L stainless steel powder beds. The present study extends this work to investigate the effects of the hatch space and scan length on the melting pool characteristics in a double-scanning track SLM process. A three-dimensional finite element model is constructed to predict the features of the scan track melt pool for various values of the hatch space and scan length. A circle packing design method is then used to select a representative set of hatch space and scan length parameters to train artificial neural networks (ANNs) to predict the melt pool temperature, melt pool depth, and overlap rate between adjacent tracks. Finally, the trained ANNs are used to create process maps relating the scan track features to the hatch space and scan length. The optimal hatch space and scan length region of the temperature process map is then determined based on a joint consideration of the peak temperature (less than 3300 K), the difference in depth of adjacent melt pools (less than 10 μm), and the overlap rate of adjacent scan tracks (25~35%). The results indicate that the optimal hatch space is equal to 61% of the laser spot size given an SLM system with a laser power of 180 W, a scanning speed of 680 mm/s, a laser spot size of 120 μm, and a 316L SS powder layer thickness of 50 μm.",
41,A Framework for Optimizing Process Parameters in Powder Bed Fusion (PBF) Process Using Artificial Neural Network (ANN),"Powder bed fusion (PBF) process is a metal additive manufacturing process, which can build parts with any complexity from a wide range of metallic materials. Research in the PBF process predominantly focuses on the impact of a few parameters on the ultimate properties of the printed part. The lack of a systematic approach to optimizing the process parameters for a better performance of given material results in a sub-optimal process. This process needs a comprehensive study of all the influential parameters and their impact on the mechanical and microstructural properties of a fabricated part. Furthermore, there is a need to develop a quantitative system for mapping the material properties and process parameters with the ultimate quality of the fabricated part to achieve improvement in the manufacturing cycle as well as the quality of the final part produced by the PBF process. To address the aforementioned challenges, this research proposes a framework to optimize the process for 316L stainless steel material. This framework characterizes the influence of process parameters on the microstructure and mechanical properties of the fabricated part using a series of experiments. These experiments study the significance of process parameters and their variance as well as study the microstructure and mechanical properties of fabricated parts by conducting tensile, impact, hardness, surface roughness, and densification tests, and ultimately obtain the optimum range of parameters. This would result in a more complete understanding of the correlation between process parameters and part quality. Furthermore, these experiments provide the required data needed to develop an Artificial Neural Network (ANN) model to optimize process parameters (for achieving the desired properties) and estimate fabrication time.",
42,A prediction model for finding the optimal laser parameters in additive manufacturing of NiTi shape memory alloy,"Shape memory alloys (SMAs) have been applied for various applications in the fields of aerospace, automotive, and medical. Nickel-titanium (NiTi) is the most well-known alloy among the others due to its outstanding functional characteristics including superelasticity (SE) and shape memory effect (SME). These particular properties are the result of the reversible martensite-to-austenite and austenite-to-martensite transformations. In recent years, additive manufacturing (AM) has provided a great opportunity for fabricating NiTi products with complex shapes. Many researchers have been investigating the AM process to set the optimal operational parameters, which can significantly affect the properties of the end-products. Indeed, the functional and mechanical behavior of printed NiTi parts can be tailored by controlling laser power, laser scan speed, and hatch spacing having them a crucial role in properties of 3D-printed parts. In particular, the effect of the input parameters can significantly alter the mechanical properties such as strain recovery rates and the transformation temperatures; therefore, using suitable parameter combination is of paramount importance. In this framework, the present study develops a prediction model based on artificial neural network (ANN) to generate a nonlinear map between inputs and outputs of the AM process. Accordingly, a prototyping tool for the AM process, also useful for dealing with the settings of the optimal operational parameters, will be built, tested, and validated.",
43,Process design of laser powder bed fusion of stainless steel using a Gaussian process-based machine learning model,"In this work, a Gaussian process (GP)-based machine learning model is developed to predict the remelted depth of single tracks, as a function of combined laser power and laser scan speed in a laser powder bed fusion process. The GP model is trained by both simulation and experimental data from the literature. The mean absolute prediction error magnified by the GP model is only 0.6 μm for a powder bed with layer thickness of 30 μm, suggesting the adequacy of the GP model. Then, the process design maps of two metals, 316L and 17-4 PH stainless steels, are developed using the trained model. The normalized enthalpy criterion of identifying keyhole mode is evaluated for both stainless steels. For 316L, the result suggests that the Δ𝐻ℎ𝑠≥30 criterion should be related to the powder layer thickness. For 17-4 PH, the criterion should be revised to Δ𝐻ℎ𝑠≥25.",
45,Optimization of parameters of micro-plasma transferred arc additive manufacturing process using real coded genetic algorithm,"Micro-plasma transferred arc additive manufacturing (μ-PTAAM) process developed at IIT Indore has proven be an energy and material efficient additive manufacturing process for various meso-scale ALM applications of high melting point metallic materials. This paper reports on optimization of three most important parameters (i.e. micro-plasma power, worktable travel rate and wire feed rate) of μ-PTAAM process by real coded genetic algorithms so as to minimize the aspect ratio (i.e. ratio of deposition width to deposition height) with an overall objective to increase productivity of this process. Objective function for aspect ratio was formulated using generic theoretical thermal developed in terms of μ-PTAAM process parameters and properties of the substrate and deposition material and models developed using regression analysis and artificial neural networks (ANN). It gave optimized values of micro-plasma power as 370, 355 and 360 W, respectively, by the thermal model, regression model and ANN model, and that of travel speed of worktable and wire feed rate as 100 mm/min and as 1700 mm/min by all three models. The optimized results were validated experimentally by depositing 0.3-mm diameter wire of P20 on 5-mm-thick substrate of the same material. The optimized values of the aspect ratio using objective function based generic thermal model, regression model and ANN model are 1.15, 1.31 and 1.36, respectively, with corresponding experimental values being 1.48, 1.5 and 1.48, respectively. Use of optimum process parameters resulted in very good quality and accuracy of the deposition which has excellent bonding with the substrate material and no internal defects.",
46,Using machine learning to aid in the parameter optimisation process for metal-based additive manufacturing,"Metal-based additive manufacturing is a relatively new technology used to fabricate metal objects within an entirely digital workflow. However, only a small number of different metals are proven for this process. This is partly due to the need to find a new set of parameters which can be used to successfully build an object for every new alloy investigated. There are dozens of variables which contribute to a successful set of parameters and process parameter optimisation is currently a manual process which relies on human judgement.
Here, we demonstrate the application of Machine Learning as an alternative method to determine this set of process parameters, the subject of this test is the processing of pure copper in a laser powder bed fusion printer. Data in the form of optical images were collected over the course of traditional parameter optimisation. These images were segmented and fed into a convolutional autoencoder and then clustered in order to find the clusters which best represented a high-quality result. The clusters were manually scored according to their quality and the results applied to the original set of parameters.
It was found that the machine-learned clustering and subsequent scoring reflected many of the observations which were found in the traditional parameter optimisation process.
This exercise, as well as demonstrating the effectiveness of the ML approach, indicates an opportunity to fully automate the approach to process optimisation by applying labels to the data, hence, an approach that could also potentially be suited for on-the-fly process optimisation.",
47,Modeling and analysis of significant process parameters of FDM 3D printer using ANFIS,"The present work deals with the effects of significant parameters of the Fused Deposition Modeling (FDM) 3D printer on the tensile strength of materials like PETG, ABS and multi-material (60% ABS + 40% PETG). The significant process parameters have been taken as extrusion temperature, layer height and material density. ASTM D638-(IV) standard test specimens have been prepared at different process parameters of the FDM 3D printer to check their tensile strength. UNITEK 94100 Universal testing machine is used to test the tensile strength of test specimens. Thirty experiments have been performed on the UTM machine with various materials and their tensile strength has been recorded as output response. The training between input and output data has been given with ANFIS (Adaptive Neuro-Fuzzy Inference System). It is observed that maximum tensile strength achieved is 0.0405 kN/mm2 for PETG (material density 1.27 g/cm3) when it is fabricated with 0.1 mm layer height and 225 °C extrusion temperature and ANFIS model is successfully performing for giving output on new input parameters with 2.63 percent error.",
48,The estimation of the laser point temperature based on CNN (Convolutional Neural Network),"For the requirements of the laser temperature in additive manufacturing, there is a high precision and high heat need in the industry. The method is proposed to estimate the temperature of laser point, which is based on CNN. In this method, a model of CNN is carried out. The collected laser thermal radiation images are used to train the model. Image recognition and isotherm estimation can be obtained by the trained model. The conclusion can be verified by the experiment. The isotherm and temperature of the laser can be measured efficiently in this method.",
49,Powder-bed fusion process monitoring by machine vision with hybrid convolutional neural networks,"In this article, a method of hybrid convolutional neural networks (CNNs) is proposed for powder-bed fusion (PBF) process monitoring. The proposed method can learn both the spatial and temporal representative features from the raw images automatically based on the advantages of the CNN architecture. The results demonstrate the superior performance of the proposed method compared with the traditional methods with handcrafted features. The overall detection accuracy of four process conditions, e.g., overheating, normal, irregularity, and balling, can be up to 0.997. In addition, it is found that the temporal information for PBF process monitoring by the vision detection of the process zone (including melt pool, plume, and spatters) is significant. As the proposed method can save image processing steps, it simplifies the procedure on feature extraction. This makes it more suitable for online monitoring applications.",
50,Laser processing quality monitoring by combining acoustic emission and machine learning: a high-speed X-ray imaging approach,"In situ and real-time monitoring of laser processes are very challenging due to complex dynamics of the laser-matter interactions. Acoustic emission (AE) technique is often used as non-destructive monitoring of many kinds of processes. However, acoustic emission is not industrialized for laser processing for two reasons. First, the signals are too sensitive to the environmental noises. Second, a correlation of the acoustic emission signal with the real events is very difficult to realize despite being of utmost importance. To overcome these difficulties, we combined fast hard X-ray imaging with acoustic sensors and state-of-the-art machine learning.",
51,A Deep Learning Approach for the Identification of Small Process Shifts in Additive Manufacturing using 3D Point Clouds,"Additive manufacturing (AM) refers to a family of manufacturing technologies that fabricate parts by joining materials layer by layer. It has a high level of flexibility in design and manufacturing, which provides a unique opportunity for producing parts with complex geometries that are not feasible using conventional subtractive manufacturing. Due to the sensitivity of AM to machine settings and process conditions, process shifts are oftentimes incurred in AM, which introduce defects and impact the quality and reliability of AM products. As such, it is critical to identify AM process shifts, especially at the incipient stage, for quality assurance. Most existing approaches, however, are limited in their ability to detect small AM process shifts. In this study, a structured light scanner is used to capture 3D point clouds from printed surfaces. A deep learning framework is introduced to extract useful information from point cloud data to delineate geometric variations of the printed surface and detect process shifts. The research methodology is evaluated and validated using both simulation studies and real-world applications. Experimental results have shown that the deep learning approach is with remarkable ability in detecting small process shifts and it outperforms convolutional neural network models when large amounts of training samples are not available. The proposed framework has a strong potential to be used for in-situ layer-wise monitoring of AM processes for quality control and the detection of cyber-physical attacks.",
52,Heterogeneous sensor-based condition monitoring in directed energy deposition,"The objective of this work is to detect in situ the occurrence of lack-of-fusion defects in titanium alloy (Ti-6Al-4 V) parts made using directed energy deposition (DED) additive manufacturing (AM). We use data from two types of in-process sensors, namely, a spectrometer and an optical camera which are integrated into an Optomec MR-7 DED machine. Both sensors are focused on capturing the dynamic phenomena around the melt pool region. To detect lack-of-fusion defects, we fuse (combine) the data from the in-process sensors invoking the concept of Kronecker product of graphs. Subsequently, we use the features derived from the graph Kronecker product as inputs to a machine learning algorithm to predict the severity (class or level) of average length of lack-of-fusion defects within a layer, which is obtained from offline X-ray computed tomography of the test parts. We demonstrate that the severity of lack-of-fusion defects is classified with statistical fidelity (F-score) close to 85% for a two-level classification scenario, and approximately 70% for a three-level classification scenario. Accordingly, this work demonstrates the use of heterogeneous in-process sensing and online data analytics for in situ detection of defects in DED metal AM process.",
53,Porosity prediction: Supervised-learning of thermal history for direct laser deposition,"The objective of this study is to investigate the relationship between the melt pool characteristics and the defect occurrence in an as-built additive manufacturing part. One of the major detrimental microstructure properties associated with additive manufacturing (AM) is porosity within final parts. State-of-the-art porosity detection methods focus primarily on post-manufacturing approaches that are susceptible to high cost of process, longer process time, and are incapable of characterizing pores during fabrication. A real-time porosity prediction method is developed using morphological characteristics of the melt pool boundary (i.e., features obtained via functional principal component analysis (FPCA)). A thermal monitoring system is used to capture the time-varying melt pool signal, which are labeled as either pores or normal melt pools by X-ray tomography. Supervised learning methods are utilized to identify the patterns of melt pool images and build a black-box model for the probability distribution of class labels (namely, porosity) based on data characteristics of predictors (e.g., melt pool characteristics). The resultant model does not depend on specific design of specimens with varying material properties; and can be effectively developed as long as thermal-porosity data can be obtained. In the current study, multiple supervised machine learning approaches are used to classify melt pools to predict porosity in a part. Two different accuracy measures are used and numerical experiments show that among the classification approaches used (i.e., Decision Tree (DT), K-Nearest Neighbor (KNN), Support Vector Machine (SVM), Linear Discriminant Analysis (LDA), and Quadratic Discriminant Analysis (QDA)), KNN results in the highest rate of accurately classifying melt pools (98.44%). However, DT results in the lowest rate for incorrectly identifying normal melt pools as pores (0.03%). A comparative study is conducted that compares the performance of supervised learning methods leveraging the proposed morphological model and simple metrics of the melt pool. Numerical experiments show that the morphological model combined with supervised learning techniques vastly outperform the simple melt pool metrics combined with supervised learning techniques (approximately 250% better performance for correctly predicting abnormal melt pools). Our approach may potentially be applied to other AM processes that share similar energy-material interactions (e.g., powder bed fusion, electron beam melting).",
54,Rapid surface defect identification for additive manufacturing with in-situ point cloud processing and machine learning,"Surface monitoring is an essential part of quality assurance for additive manufacturing (AM). Surface defects need to be identified early in the AM process to avoid further deterioration of the part quality. In this paper, a rapid surface defect identification method for directed energy deposition (DED) is proposed. The main contribution of this work is the development of an in-situ point cloud processing with machine learning methods that enable automatic surface monitoring without sensor intermittence. An in-house software platform with a multi-nodal architecture is developed. In-situ point cloud processing steps, including filtering, segmentation, surface-to-point distance calculation, point clustering, and machine learning feature extraction, are performed by multiple subprocesses running simultaneously. The combined unsupervised and supervised machine learning techniques are applied to detect and classify surface defects. The proposed method is experimentally validated, and a surface defect identification accuracy of 93.15% is achieved.",
55,A machine learning approach of lattice infill pattern for increasing material efficiency in additive manufacturing processes,"Additive Manufacturing (AM) has become ubiquitous in manufacturing three-dimensional objects through 3D printing. Traditional analytical models are still widely utilized for low–cost 3D Printing, which is deficient in terms of process, structure, property and performance relationship for AM. This paper focuses on the introduction of a new infill pattern–the lattice infill to increase material efficiency of 3D prints, coupled with Machine Learning (ML) technique to address geometric corrections in modelling the shape deviations of AM. Encompassed by ML algorithms, the neural network (NN) is used to handle the large dataset of the system. The 3D coordinates of the proposed infill pattern are extracted as the input of the NN model. The optimization technique of scaled conjugate gradient (SCG) is the algorithm used to train the feedforward ANN, and sigmoidal function was used as the activation type for output neurons. There is 0.00776625 cross-entropy (CE) performance and 98.8% accuracy during network training. The trained network is implemented to STL file for geometric corrections of the lattice infill pattern then made in a 3D printer slicing software. Conventional designs such as the cubic and grid infill pattern were also made for comparison. Engineering simulation software were used to simulate all three infill patterns, to measure approximate product weight, stress performance and displacement, given that there is an external force applied. Comparisons showed that the new infill pattern is more efficient than conventional infill patterns saving material up to 61.3%. Essentially increasing the amount of prints produced per spool by 2.5 times. The structure of the proposed design can also resist up to 1.6 kN of compressive load prior to breaking.",
56,"Real-time FDM machine condition monitoring and diagnosis based on acoustic emission and hidden semi-Markov model,","Machine condition monitoring is considered as an important diagnostic and maintenance strategy to ensure product quality and reduce manufacturing cost. However, currently, most additive manufacturing (AM) machines are not equipped with sensors for system monitoring. In this paper, a real-time lightweight AM machine condition monitoring approach is proposed, where acoustic emission (AE) sensor is used. In the proposed method, the original AE waveform signals are first simplified as AE hits, and then segmental and principal component analyses are applied to further reduce the data size and computational cost. From AE hits, the hidden semi-Markov model (HSMM) is applied to identify the machine states, including both normal and abnormal ones. Experimental studies on fused deposition modeling (FDM), one of the most popular AM technology, show that the typical machine failures can be identified in a real-time manner. This monitoring method can serve as a diagnostic tool for FDM machines.",
57,"Autonomous in-situ correction of fused deposition modeling printers using computer vision and deep learning,","Fused deposition modeling, a widely used additive manufacturing process, currently faces challenges in printed part quality such as under-extrusion and over-extrusion. In this paper, a real-time monitoring and autonomous correction system is developed, where a deep learning model and a feedback loop is used to modify 3D-printing parameters iteratively and adaptively. Results show that our system is capable of detecting in-plane printing conditions and in-situ correct defects faster than the speed of a human’s response. The fundamental elements in the framework proposed can be extended to various 3D-printing technologies to reliably fabricate high-performance materials in challenging environments without human interaction.",
58,Development of data-driven in-situ monitoring and diagnosis system of fused deposition modeling (FDM) process based on support vector machine algorithm,"Fused deposition modeling (FDM), one of representative additive manufacturing (AM) technologies, has been widely used for fabricating functional parts with geometrical complexity. However, it has suffered from degraded part quality and low process reliability and controllability. Therefore, it is of much significance to develop a monitoring and diagnosis system for the FDM process to overcome such drawbacks. In this paper, a data-driven FDM process monitoring and diagnosis system is developed by using two types of sensors – an accelerometer and an acoustic emission (AE) sensor. A large number of experimental data, collected from the accelerometers and AE sensor under healthy and faulty process states, are processed to obtain a critical feature – a root mean square (RMS). The RMS values are then used for training the FDM process monitoring and diagnosis models based on a support vector machine (SVM) algorithm and a k-fold cross validation approach. In particular, the SVM-based models for the odd- and evennumbered layers of one FDM specimen are developed. For a real-time validation in a factory floor, the non-linear SVM-based models using the acceleration signals are used for the software development. The diagnosis accuracy is better than 87.5%, and an applicability of the models is verified.",
59,Machine learning in tolerancing for additive manufacturing,"Design for additive manufacturing has gained extensive research attention in recent years, whereas tolerancing issues aiming at controlling geometric variations remain a major bottleneck in achieving predictive models and realistic simulations. In this paper, a prescriptive deviation modelling method coupled with machine learning techniques is proposed to address the modelling of shape deviations in additive manufacturing. The in-plane geometric deviations are mapped into an established deviation space and Bayesian inference is used to estimate geometric deviations patterns by statistical learning from multiple shapes data. The effectiveness of the proposed approach is demonstrated and discussed through illustrative case studies.",
60,Achieving better connections between deposited lines in additive manufacturing via machine learning,"Additive manufacturing is becoming increasingly popular because of its unique advantages, especially fused deposition modelling (FDM) which has been widely used due to its simplicity and comparatively low price. All the process parameters of FDM can be changed to achieve different goals. For example, lower print speed may lead to higher strength of the fabricated parts. While changing these parameters (eg print speed, layer height, filament extrusion speed and path distance in a layer), the connection between paths (lines) in a layer will be changed. To achieve the best connection among paths in a real printing process, how these parameters may result in what kind of connection should be studied. In this paper, a machine learning (deep neural network) model is proposed to predict the connection between paths in different process parameters. Four hundred experiments were conducted on an FDM machine to obtain the corresponding connection status data. Among them, there are 280 groups of data that were used to train the machine learning model, while the rest 120 groups of data were used for testing. The results show that this machine learning model can predict the connection status with the accuracy of around 83%. In the future, this model can be used to select the best process parameters in additive manufacturing processes with corresponding objectives.",
61,Physics-informed and hybrid machine learning in additive manufacturing: application to fused filament fabrication,"This article investigates several physics-informed and hybrid machine learning strategies that incorporate physics knowledge in experimental data-driven deep-learning models for predicting the bond quality and porosity of fused filament fabrication (FFF) parts. Three types of strategies are explored to incorporate physics constraints and multi-physics FFF simulation results into a deep neural network (DNN), thus ensuring consistency with physical laws: (1) incorporate physics constraints within the loss function of the DNN, (2) use physics model outputs as additional inputs to the DNN model, and (3) pre-train a DNN model with physics model input-output and then update it with experimental data. These strategies help to enforce a physically consistent relationship between bond quality and tensile strength, thus making porosity predictions physically meaningful. Eight different combinations of the above strategies are investigated. The results show how the combination of multiple strategies produces accurate machine learning models even with limited experimental data.",
62,Real-time defect detection in 3D printing using machine learning,"3D printing or additive manufacturing is one of the key aspects of industry 4.0. However, 3D printing technology has its vulnerabilities due to the defects that develop for various reasons. This project focuses to develop a Convolutional Neural Network (CNN)-Deep Learning model to detect real-time malicious defects to prevent the production losses and reduce human involvement for quality checks. The method proposed here is based on feature extraction of geometrical anomalies occurring in infill patterns due to inconsistent extrusion, weak infills, lack of supports, or sagging and compare it to the features of a perfect 3D print. This approach is built on the concepts of image classification and computer vision using machine learning, which is an extremely popular technology because of the availability of datasets, monitoring systems, and the ability to detect causal relationships of defects. To check the quality of the parts, an integrated camera with the 3D printer captures images at regular intervals and process it using the CNN model. The results of this project are a more optimized and automated 3D printing process with the potential to solve the most widespread problem of product variability in 3D printing.",
63,Automated detection of part quality during two-photon lithography via deep learning,"Two-photon lithography (TPL) is an additive manufacturing technique for fabricating three-dimensional objects with nanoscale features. A main challenge of TPL is the routine and labor-intensive task of finding suitable light dosage parameters, i.e. writing speed and laser intensity that induce photo-polymerization within a wide variety of candidate photo-curing polymers. Another challenge is the monitoring required during fabrication. In this work, we apply machine learning (ML) models to accelerate the process of identifying optimal light dosage parameters and automate the detection of part quality. We curate TPL videos of different parts fabricated under a range of light dosage parameters using different resins and train spatial-temporal ML models on this data. Our results show that ML models can detect TPL part quality with a 95.1% accuracy in milliseconds. We also evaluate classification failures and identify two operating modes: parameter optimization and part quality detection. Last but not least, we publicly release this labelled dataset so that it may serve as a useful benchmark to the community. Our approach to process optimization and part quality detection addresses important aspects of TPL industrialization, is applicable beyond TPL and should benefit other additive manufacturing techniques with similar barriers to operating at industrial scale.",
64,Data-driven microstructure and microhardness design in additive manufacturing using a self-organizing map,"To design microstructure and microhardness in the additive manufacturing (AM) of nickel (Ni)-based superalloys, the present work develops a novel data-driven approach that combines physics-based models, experimental measurements, and a data-mining method. The simulation is based on a computational thermal-fluid dynamics (CtFD) model, which can obtain thermal behavior, solidification parameters such as cooling rate, and the dilution of solidified clad. Based on the computed thermal information, dendrite arm spacing and microhardness are estimated using well-tested mechanistic models. Experimental microstructure and microhardness are determined and compared with the simulated values for validation. To visualize process–structure–properties (PSPs) linkages, the simulation and experimental datasets are input to a data-mining model—a self-organizing map (SOM). The design windows of the process parameters under multiple objectives can be obtained from the visualized maps. The proposed approaches can be utilized in AM and other data-intensive processes. Data-driven linkages between process, structure, and properties have the potential to benefit online process monitoring control in order to derive an ideal microstructure and mechanical properties.",
65,Deep learning-based tensile strength prediction in fused deposition modeling,"As one of the transformative technologies, Additive Manufacturing (AM) has been facing the challenge of product property inconsistency, which prevents its adoption in various critical applications. Various studies have been dedicated to building the predictive models for improved AM quality control. However, the distinct layer-by-layer printing process and the related cyclic layer thermal history present significant difficulty in model accuracy and reliability. This paper presents a data-driven predictive model by taking into account the printing process in a deep learning network structure, using Fused Deposition Modeling (FDM) as a representative case study. Temperature and vibration data are measured to reveal the layer-wise thermal and mechanical activities as well as the process variation, and the inter-relationship among different printing layers is characterized by a Long Short-term Memory (LSTM) network. The sensing data, combined with process parameters and material property, are then fused for predicting the tensile strength of manufactured parts. To quantify the influence of each process parameters on the prediction result, a modified Layer-wise Relevance Propagation (LRP) is investigated. Experimental evaluation has shown that the LSTM-based predictive model outperforms several machine learning techniques, such as Support Vector Regression and Random Forest. The relevance distribution revealed by LRP is found useful for interpreting the prediction result.",
66, Efficient numerical modeling of 3D-printed lattice-cell structures using neural networks,"Additively manufactured structures can be tailor-made to optimally distribute mechanical loads while remaining light-weight. To efficiently analyze the locally unique mechanical behavior of structures made from a large number of small lattice cells, a strategy which employs neural networks and deep learning to predict the maximum stresses in the realm of linear elasto-plasticity of a detail-level finite-element model is presented. The strategy is demonstrated on a single lattice cell specimen. Good agreements between experimental, finite element and neural network results are found at a significant reduction in computation time.",
67,Application of machine learning techniques to predict the mechanical properties of polyamide 2200 (PA12) in additive manufacturing,"Additive manufacturing (AM) is an attractive technology for the manufacturing industry due to flexibility in its design and functionality, but inconsistency in quality is one of the major limitations preventing utilizing this technology for the production of end-use parts. The prediction of mechanical properties can be one of the possible ways to improve the repeatability of results. The part placement, part orientation, and STL model properties (number of mesh triangles, surface, and volume) are used to predict tensile modulus, nominal stress, and elongation at break for polyamide 2200 (also known as PA12). An EOS P395 polymer powder bed fusion system was used to fabricate 217 specimens in two identical builds (434 specimens in total). Prediction is performed for XYZ, XZY, ZYX, and Angle orientations separately, and all orientations together. The different non-linear models based on machine learning methods have higher prediction accuracy compared with linear regression models. Linear regression models only have prediction accuracy higher than 80% for Tensile Modulus and Elongation at break in Angle orientation. Since orientation-based modeling has low prediction accuracy due to a small number of data points and lack of information about the material properties, these models need to be improved in the future based on additional experimental work.",
68,Achieving better connections between deposited lines in additive manufacturing via machine learning,"Additive manufacturing is becoming increasingly popular because of its unique advantages, especially fused deposition modelling (FDM) which has been widely used due to its simplicity and comparatively low price. All the process parameters of FDM can be changed to achieve different goals. For example, lower print speed may lead to higher strength of the fabricated parts. While changing these parameters (eg print speed, layer height, filament extrusion speed and path distance in a layer), the connection between paths (lines) in a layer will be changed. To achieve the best connection among paths in a real printing process, how these parameters may result in what kind of connection should be studied. In this paper, a machine learning (deep neural network) model is proposed to predict the connection between paths in different process parameters. Four hundred experiments were conducted on an FDM machine to obtain the corresponding connection status data. Among them, there are 280 groups of data that were used to train the machine learning model, while the rest 120 groups of data were used for testing. The results show that this machine learning model can predict the connection status with the accuracy of around 83%. In the future, this model can be used to select the best process parameters in additive manufacturing processes with corresponding objectives.",
